1,1,191__a,245,8564_u
14716,,E/1980/29; E/ECWA/114,"Economic Commission for Western Asia. Report on the 7th session, 19-23 April 1980.",http://digitallibrary.un.org/record/14716/files/E_1980_29_E_ECWA_114-AR.pdf; http://digitallibrary.un.org/record/14716/files/E_1980_29_E_ECWA_114-EN.pdf; http://digitallibrary.un.org/record/14716/files/E_1980_29_E_ECWA_114-FR.pdf
17024,,E/ECWA/73,Provisional agenda.,http://digitallibrary.un.org/record/17024/files/E_ECWA_73-AR.pdf; http://digitallibrary.un.org/record/17024/files/E_ECWA_73-EN.pdf
17025,,E/ECWA/73/Add.1,Annotated provisional agenda.,http://digitallibrary.un.org/record/17025/files/E_ECWA_73_Add.1-AR.pdf; http://digitallibrary.un.org/record/17025/files/E_ECWA_73_Add.1-EN.pdf
17026,,E/ECWA/73/Rev.1,Agenda.,http://digitallibrary.un.org/record/17026/files/E_ECWA_73_Rev.1-AR.pdf; http://digitallibrary.un.org/record/17026/files/E_ECWA_73_Rev.1-EN.pdf
17027,,E/ECWA/74,"Work programme and priorities, 1980-1981.",http://digitallibrary.un.org/record/17027/files/E_ECWA_74-AR.pdf; http://digitallibrary.un.org/record/17027/files/E_ECWA_74-EN.pdf
17028,,E/ECWA/74/Add.1,Note of the Executive Secretary.,http://digitallibrary.un.org/record/17028/files/E_ECWA_74_Add.1-AR.pdf; http://digitallibrary.un.org/record/17028/files/E_ECWA_74_Add.1-EN.pdf
17029,,E/ECWA/75,Progress report on the implementation of the work programme.,http://digitallibrary.un.org/record/17029/files/E_ECWA_75-AR.pdf; http://digitallibrary.un.org/record/17029/files/E_ECWA_75-EN.pdf
17030,,E/ECWA/76,Follow-up action on the resolutions /; adopted by the Commission at its 5th session in October 1978.,http://digitallibrary.un.org/record/17030/files/E_ECWA_76-AR.pdf; http://digitallibrary.un.org/record/17030/files/E_ECWA_76-EN.pdf
17031,,E/ECWA/76/Corr.1,"Follow-up action on the resolutions /; adopted by the Commission at its 5th session, in October 1978. Corrigendum.",
17032,,E/ECWA/76/Add.1,The practices of transnational corporations in the oil industry in the ECWA region.,http://digitallibrary.un.org/record/17032/files/E_ECWA_76_Add.1-EN.pdf
17033,,E/ECWA/77,Note /; by the Executive Secretary.,http://digitallibrary.un.org/record/17033/files/E_ECWA_77-AR.pdf; http://digitallibrary.un.org/record/17033/files/E_ECWA_77-EN.pdf
