1,1,191__a,245,8564_u
450768,,E/ESCWA/TRANS/2000/WG.1/10,"Jawanib al-tanfithiyah alati itkhathat-ha Da`irat al-Jamarik al-Urduniyah li-tabsiit al-ijra`at al-jumrykiyah wa-tashiil naql al-bada`i' duwaliyan 'ibr aradiha /; i'dad, Da`irat al-Jamarik al-Urduniyah",
450776,,E/ESCWA/TRANS/2000/WG.1/19,Itifaqiyat al-Umam al-Mutahidah lil-naql al-duwali al-muta'adid al-was`it al-ma'qudah bi-tarikh 24 aiiar/maio 1980 :; mabadi` wa-mas`uliyat /; i'dad Rimon 'Akil Farhat,
553382,,E/ESCWA/SCU/2004/WG.1/CP.2,"Waraqah qutriyah :; al-Maghrib : al-Lajnah al-Iqtisadiyah wa-al-Ijtima'iyah li--Gharbi Assiyah : Ijtima' Khubara` hawla al-baiyant wal-mu`ashirat al-mustakhdamah li-rasd al-taqadum al-muhraz nahwa tahqiq al-ahdaf al-inma`iyah lil-alfiyah fi mantiqat al-Iskwa, Beyrouth, 9-13 Shubat/Febrair 2004 /; [i'dad, Abdel Jawd al-Zarrari]",
553383,,E/ESCWA/SCU/2004/WG.1/CP.3,"Waraqah qutriyah :; al-Jamahiriyah al-'Arabiyah al-aLibiyah : al-Lajnah al-Iqtisadiyah wa-al-Ijtima'iyah li--Gharbi Assiyah : Ijtima' Khubara` hawla al-baiyant wal-mu`ashirat al-mustakhdamah li-rasd al-taqadum al-muhraz nahwa tahqiq al-ahdaf al-inma`iyah lil-alfiyah fi mantiqat al-Iskwa, Beyrouth, 9-13 Shubat/Febrair 2004",
578872,,E/ESCWA/SDPD/2006/3,"Taqrir al-Dawrah al-Tadribiyah al-Iqlimiyah hawla Kahrabat al-Qura al-Rifiyah bi-al-Nuthum al-Kahrodhu`iyah :; tasmim al-nuthum, wa-tarkibihah wa-tashghilihah wa-siyahatihah, 'Adan, al-Jumhuriyah al-Yamaniyah, 26-30 Tishrin al-Thani/Novambar 2005",http://digitallibrary.un.org/record/578872/files/E_ESCWA_SDPD_2006_3-AR.pdf
580270,,E/ESCWA/SDD/2006/IG.1/11,Itar al-'amal al-iqlimi li-da'm al-mubadarat al-wataniyah fi itlaq -Hamlah al-Iqlimiyah li-Dhaman Hiyazat al-Maskan wa-al-Ardh wa-al Idarah al-Hadhariyah al-Jaiidah :; Dawr kul mina al-qita'at al-hukumiyah wa-al-Sutlat al-mahaliyah wa-al-i'lamiyah,
607006,,E/ESCWA/SDPD/2007/WG.1/8,"Taqrir al-Mu`tamar al-Duwali hawla ""Takamul Masadir al-Taqah al-mustadamah fi al-Manatiq al-Qahilah"" wa-al-Muntadah al-Iqlimi al-'Arabi hawla ""al-Taqah min ajl al-Tanmiyah al-Mustadamah : al-Istratijiyat wa-al-siyasat wa-al-Khitat"", Abu Dhabi, dawlat al-Imarat al-'Arabiyah al-Mutahidah, 28 Kanoun al-Thani / Yanair-Shubat / Febrair 2007",
38694,,E/ESCWA/NR/85/WG.7/13/Rev.1,"Integrated energy planning in selected ESCWA countries :; proceedings of the Expert Group Meeting on Integrated Energy Planning, Amman, Jordan, 30 November-3 December 1985.",
38796,,E/ESCWA/UNCTC/87/1,Impact of the operations of transnational corporations on development in Saudi Arabia.,
